Threads,Runtime,Mean,StdDev
8,native(glibc),0.0009142796198527019,4.568395638791721e-05
8,native(musl),0.0006996313730875651,1.8960072506417162e-05
8,wasmtime,0.0257565180460612,0.0013172328167889158
8,iwasm,0.9068649053573609,0.0578948096329531
8,wasmer,1.7953778171539307,0.19355582676967772
16,native(glibc),0.0012355645497639973,6.863135547973177e-05
16,native(musl),0.0010085582733154296,4.012282696936873e-05
16,wasmtime,0.025919890403747557,0.0017994488234996419
16,iwasm,0.8926001071929932,0.041404502262719904
16,wasmer,1.7533754760568792,0.1643743647037442
32,native(glibc),0.001804208755493164,7.965841724299329e-05
32,native(musl),0.001558065414428711,7.799366198275633e-05
32,wasmtime,0.02686752478281657,0.0026486730433555854
32,iwasm,0.8971236705780029,0.028090128247668024
32,wasmer,1.810932387476382,0.2249962040623491
64,native(glibc),0.0029967069625854493,0.00024008187693366645
64,native(musl),0.0026073853174845376,8.725347127139149e-05
64,wasmtime,0.026435478528340658,0.003969936981230391
64,iwasm,0.8962415933609009,0.03977527225090899
64,wasmer,1.7959890786339254,0.12529959619488298
