Threads,Runtime,Mean,StdDev
8,native(glibc),17.14752617677053,0.051002235703625706
8,native(musl),3.446229600906372,0.002053958145523996
8,wasmtime,4.0241623878479,0.002330732070802232
8,iwasm,4.9148749828338625,0.3012826371431556
8,wasmer,5.884375286102295,0.05838458358461488
16,native(glibc),34.2785305817922,0.0013148980240583641
16,native(musl),6.892009957631429,0.005612548321934438
16,wasmtime,8.029319675763448,0.003516364019534312
16,iwasm,9.032122723261516,0.7681390321442186
16,wasmer,10.10538045291243,0.05095138531367985
32,native(glibc),68.55584398905437,0.003268159639131793
32,native(musl),13.788712898890177,0.0015407121584126774
32,wasmtime,16.07764959335327,0.0012405093179790475
32,iwasm,16.48099946975708,0.038610385208612236
32,wasmer,18.53724416097005,0.02524631370566367
64,native(glibc),137.11490670839945,0.0011412235189413788
64,native(musl),27.56196395556132,0.02742186571575195
64,wasmtime,32.27906767527262,0.0034755004146797388
64,iwasm,16.46580410003662,0.03998191134749175
64,wasmer,35.41458487510681,0.10331577517915738
