Functions,Threads,Time(µs),StdDev
1,1,17.333333333333332,2.2997584414213788
1,16,21.375,7.1938196854429615
10,1,17.333333333333332,1.3498971154211057
10,16,22.283333333333335,6.628452978553057
100,1,23.333333333333332,1.699673171197595
100,16,29.704166666666666,8.980997493164232
1000,1,71.8,3.7982452088650973
1000,16,69.07916666666667,18.680816344730644
